Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.
J A N U A R Y,1.0,Shadow in the Cloud,Vertical Entertainment,"Roseanne Liang (director/screenplay); Max Landis (screenplay); Chloë Grace Moretz, Taylor John Smith, Beulah Koale, Callan Mulvey, Nick Robinson",[2],
J A N U A R Y,13.0,The White Tiger,Netflix,"Ramin Bahrani (director/screenplay); Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas",,
J A N U A R Y,14.0,Locked Down,HBO Max / Warner Bros. Pictures,"Doug Liman (director); Steven Knight (screenplay); Anne Hathaway, Chiwetel Ejiofor, Stephen Merchant, Mindy Kaling, Lucy Boynton, Dulé Hill, Jazmyn Simon, Mark Gatiss, Claes Bang, Ben Stiller, Ben Kingsley",[3],
J A N U A R Y,15.0,The Dig,Netflix / Clerkenwell Films,"Simon Stone (director); Moira Buffini (screenplay); Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn, Ben Chaplin, Ken Stott, Archie Barnes, Monica Dolan",[4],
J A N U A R Y,15.0,Outside the Wire,Netflix,"Mikael Håfström (director); Rob Yescombe, Rowan Athale (screenplay); Anthony Mackie, Damson Idris, Emily Beecham, Michael Kelly, Pilou Asbæk",[5],
J A N U A R Y,15.0,The Marksman,Open Road Films,"Robert Lorenz (director/screenplay); Chris Charles, Danny Kravitz (screenplay); Liam Neeson, Katheryn Winnick, Juan Pablo Raba, Teresa Ruiz",[6],
J A N U A R Y,15.0,The Ultimate Playlist of Noise,Hulu,"Bennett Lasseter (director); Mitchell Winkie (screenplay); Keean Johnson, Madeline Brewer, Rya Kihlstedt, Ian Gomez, Bonnie Hunt",[7],
J A N U A R Y,15.0,American Skin,Vertical Entertainment,"Nate Parker (director/screenplay); Nate Parker, Omari Hardwick, Theo Rossi, Shane Paul McGhie, Milauna Jackson, Beau Knapp",[8],
J A N U A R Y,15.0,Don't Tell a Soul,Lionsgate / Saban Films,"Alex McAulay (director/screenplay); Jack Dylan Grazer, Fionn Whitehead, Rainn Wilson, Mena Suvari",[9],
J A N U A R Y,22.0,Our Friend,Gravitas Ventures / Black Bear Pictures,"Gabriela Cowperthwaite (director); Brad Ingelsby (screenplay); Jason Segel, Dakota Johnson, Casey Affleck, Gwendoline Christie, Cherry Jones",[10],
J A N U A R Y,22.0,No Man's Land,IFC Films,"Conor Allyn (director); Jake Allyn, David Barraza (screenplay); Jake Allyn, Frank Grillo, Jorge A. Jiménez, Andie MacDowell, George Lopez",,
J A N U A R Y,22.0,Born a Champion,Lionsgate,"Alex Ranarivelo (director/screenplay); Sean Patrick Flanery (screenplay); Sean Patrick Flanery, Dennis Quaid, Katrina Bowden",[11],
J A N U A R Y,26.0,Wrong Turn,Saban Films / Constantin Film,"Mike P. Nelson (director); Alan B. McElroy (screenplay); Charlotte Vega, Adain Bradley, Bill Sage, Emma Dumont, Dylan McTee, Daisy Head, Matthew Modine",[12],
J A N U A R Y,27.0,Penguin Bloom,Netflix / Roadshow Films,"Glenda Ivin (director); Shaun Grant, Harry Cripps (screenplay); Naomi Watts, Andrew Lincoln, Jacki Weaver, Rachel House",[13],
J A N U A R Y,29.0,The Little Things,Warner Bros. Pictures / Gran Via Productions / HBO Max,"John Lee Hancock (director/screenplay); Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt, Terry Kinney, Natalie Morales",[14],
J A N U A R Y,29.0,Finding ʻOhana,Netflix,"Jude Weng (director); Christina Strain (screenplay); Kea Peahu, Alex Aiono, Lindsay Watson, Owen Vaccaro, Kelly Hu, Branscombe Richmond, Chris Parnell, Marc Evan Jackson",[15],
J A N U A R Y,29.0,Nomadland,Searchlight Pictures / Hulu,"Chloé Zhao (director/screenplay); Frances McDormand, David Strathairn, Linda May, Charlene Swankie, Bob Wells",[16],
J A N U A R Y,29.0,Malcolm & Marie,Netflix,"Sam Levinson (director/screenplay); Zendaya, John David Washington",[17],
J A N U A R Y,29.0,Palmer,Apple TV+,"Fisher Stevens (director) Cheryl Guerriero (screenplay); Justin Timberlake, Juno Temple, Alisha Wainwright, June Squibb, Ryder Allen",[18],
F E B R U A R Y,5.0,Falling,Quiver Distribution,"Viggo Mortensen (director/screenplay); Viggo Mortensen, Lance Henriksen, Terry Chen, Sverrir Gudnason, Hannah Gross, Laura Linney",[19],
F E B R U A R Y,5.0,Bliss,Amazon Studios,"Mike Cahill (director/screenplay); Owen Wilson, Salma Hayek",,
F E B R U A R Y,5.0,Little Fish,IFC Films / Black Bear Pictures,"Chad Hartigan (director); Mattson Tomlin (screenplay); Olivia Cooke, Jack O'Connell, Raúl Castillo, Soko",[20],
F E B R U A R Y,5.0,Son of the South,Vertical Entertainment,"Barry Alexander Brown (director/screenplay); Lucas Till, Lucy Hale, Cedric the Entertainer, Brian Dennehy",,
F E B R U A R Y,5.0,PVT Chat,Dark Star Pictures,"Ben Hozie (director/screenplay); Julia Fox, Nikki Belfiglio, Austin Brown, Peter Vack",[21],
F E B R U A R Y,10.0,Music,Vertical Entertainment,"Sia (director/screenplay); Dallas Clayton (screenplay); Kate Hudson, Leslie Odom Jr., Maddie Ziegler",[22],
F E B R U A R Y,12.0,Judas and the Black Messiah,Warner Bros. Pictures / Participant / Bron Creative / HBO Max,"Shaka King (director/screenplay); Will Berson (screenplay); Daniel Kaluuya, Lakeith Stanfield, Jesse Plemons, Dominique Fishback, Ashton Sanders, Darrell Britt-Gibson, Lil Rel Howery, Algee Smith, Dominique Thorne, Martin Sheen",[23],
F E B R U A R Y,12.0,The Mauritanian,STXfilms / Topic Studios / BBC Film,"Kevin Macdonald (director); M.B. Traven, Rory Haines, Sohrab Noshirvani (screenplay); Jodie Foster, Tahar Rahim, Shailene Woodley, Zachary Levi, Benedict Cumberbatch",,
F E B R U A R Y,12.0,Breaking News in Yuba County,American International Pictures / AGC Studios / Nine Stories Productions,"Tate Taylor (director); Amanda Idoko (screenplay); Allison Janney, Mila Kunis, Awkwafina, Regina Hall, Wanda Sykes, Juliette Lewis, Samira Wiley, Matthew Modine, Ellen Barkin",,
F E B R U A R Y,12.0,Barb and Star Go to Vista Del Mar,Lionsgate / Gloria Sanchez Productions,"Josh Greenbaum (director); Annie Mumolo, Kristen Wiig (screenplay); Kristen Wiig, Annie Mumolo, Jamie Dornan, Damon Wayans Jr.",[24],
F E B R U A R Y,12.0,Minari,A24 / Plan B Entertainment,"Lee Isaac Chung (director/screenplay); Steven Yeun, Han Ye-ri, Alan Kim, Noel Kate Cho, Scott Haze, Youn Yuh-jung, Will Patton",[25],
F E B R U A R Y,12.0,To All the Boys: Always and Forever,Netflix,"Michael Fimognari (director); Katie Lovejoy (screenplay); Lana Condor, Noah Centineo, Jordan Fisher, Holland Taylor, Sarayu Blue, John Corbett",[26],
F E B R U A R Y,12.0,The World to Come,Bleecker Street / Ingenious Media,"Mona Fastvold (director); Ron Hansen, Jim Shepard (screenplay); Katherine Waterston, Vanessa Kirby, Christopher Abbott, Casey Affleck",,
F E B R U A R Y,12.0,French Exit,Sony Pictures Classics,"Azazel Jacobs (director); Patrick deWitt (screenplay); Michelle Pfeiffer, Lucas Hedges, Tracy Letts, Danielle Macdonald, Imogen Poots",[27],
F E B R U A R Y,12.0,Land,Focus Features / Big Beach,"Robin Wright (director); Jesse Chatham, Erin Dignam (screenplay); Robin Wright, Demián Bichir, Kim Dickens",[28],
F E B R U A R Y,12.0,Willy's Wonderland,Screen Media Films,"Kevin Lewis (director); G.O. Parsons (screenplay); Nicolas Cage, Emily Tosta, Ric Reitz, Beth Grant",,
F E B R U A R Y,12.0,The Map of Tiny Perfect Things,Amazon Studios,"Ian Samuels (director); Lev Grossman (screenplay); Kathryn Newton, Kyle Allen, Al Madrigal",[29],
F E B R U A R Y,12.0,Fear of Rain,Lionsgate,"Castille Landon (director/screenplay); Katherine Heigl, Madison Iseman, Israel Broussard, Harry Connick Jr.",,
F E B R U A R Y,19.0,I Care a Lot,Netflix / Amazon Studios / STXfilms / Black Bear Pictures,"J Blakeson (director/screenplay); Rosamund Pike, Peter Dinklage, Eiza González, Chris Messina, Dianne Wiest, Isiah Whitlock Jr.",[30],
F E B R U A R Y,19.0,Flora & Ulysses,Disney+ / Walt Disney Pictures,"Lena Khan (director); Brad Copeland (screenplay); Matilda Lawler, Alyson Hannigan, Ben Schwartz, Anna Deavere Smith, Danny Pudi, Benjamin Evan Ainsworth, Janeane Garofalo, Kate Micucci",[31],
F E B R U A R Y,19.0,Silk Road,Lionsgate,"Tiller Russell (director/screenplay); Jason Clarke, Nick Robinson, Katie Aselton, Jimmi Simpson, Daniel David Stewart, Darrell Britt-Gibson, Lexi Rabe, Will Ropp, Paul Walter Hauser, Alexandra Shipp",[32],
F E B R U A R Y,26.0,Tom & Jerry,Warner Bros. Pictures / Warner Animation Group / HBO Max,"Tim Story (director); Kevin Costello (screenplay); Chloë Grace Moretz, Michael Peña, Colin Jost, Rob Delaney, Pallavi Sharda, Jordan Bolger, Patsy Ferran, Nicky Jam, Bobby Cannavale, Lil Rel Howery, Ken Jeong",[33],
F E B R U A R Y,26.0,The United States vs. Billie Holiday,Hulu / Roth/Kirschenbaum Films,"Lee Daniels (director); Suzan-Lori Parks (screenplay); Andra Day, Trevante Rhodes, Garrett Hedlund, Leslie Jordan, Miss Lawrence, Adriane Lenox, Natasha Lyonne, Rob Morgan, Da'Vine Joy Randolph, Evan Ross, Tyler James Williams",[34],
F E B R U A R Y,26.0,Cherry,Apple TV+ / AGBO,"Anthony and Joe Russo (directors); Angela Russo-Otstot, Jessica Goldberg (screenplay); Tom Holland, Ciara Bravo, Jack Reynor, Michael Rispoli, Jeff Wahlberg",[35],
F E B R U A R Y,26.0,Crisis,Quiver Distribution,"Nicholas Jarecki (director/screenplay); Gary Oldman, Armie Hammer, Evangeline Lilly, Greg Kinnear, Michelle Rodriguez, Luke Evans, Lily-Rose Depp, Scott Mescudi, Martin Donovan",[36],
F E B R U A R Y,26.0,Billie Eilish: The World's a Little Blurry,Neon / Apple TV+,"R. J. Cutler (director/screenplay); Billie Eilish, Finneas O'Connell, Maggie Baird, Patrick O'Connell",[37],
F E B R U A R Y,26.0,The Vigil,IFC Midnight / Blumhouse Productions,"Keith Thomas (director/screenplay); Dave Davis, Menashe Lustig, Malky Goldman, Fred Melamed, Lynn Cohen",[38],
M A R C H,3.0,Moxie,Netflix,"Amy Poehler (director); Tamara Chestna, Dylan Meyer (screenplay); Hadley Robinson, Lauren Tsai, Patrick Schwarzenegger, Hico Hiraga, Sydney Park, Josephine Langford, Clark Gregg, Ike Barinholtz, Amy Poehler, Marcia Gay Harden",,
M A R C H,4.0,Coming 2 America,Amazon Studios / Paramount Pictures,"Craig Brewer (director); Kenya Barris, Barry W. Blaustein, David Sheffield (screenplay); Eddie Murphy, Arsenio Hall, Jermaine Fowler, Leslie Jones, Tracy Morgan, KiKi Layne, Shari Headley, Teyana Taylor, Wesley Snipes, James Earl Jones",[39],
M A R C H,4.0,The SpongeBob Movie: Sponge on the Run,Paramount+ / Paramount Animation / Nickelodeon Movies / MRC,"Tim Hill (director/screenplay); Tom Kenny, Awkwafina, Matt Berry, Snoop Dogg, Bill Fagerbakke, Clancy Brown, Tiffany Haddish, Carolyn Lawrence, Mr. Lawrence, Keanu Reeves, Danny Trejo, Reggie Watts",[40],
M A R C H,5.0,Raya and the Last Dragon,Walt Disney Pictures / Walt Disney Animation Studios / Disney+,"Don Hall, Carlos López Estrada (directors); Qui Nguyen, Adele Lim (screenplay); Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong, Sandra Oh, Thalia Tran, Lucille Soong, Alan Tudyk",[41],
M A R C H,5.0,Chaos Walking,Lionsgate / Bron Creative / 3 Arts Entertainment,"Doug Liman (director); Patrick Ness, Christopher Ford (screenplay); Daisy Ridley, Tom Holland, Mads Mikkelsen, Demián Bichir, Cynthia Erivo, Nick Jonas, Ray McKinnon, Kurt Sutter, David Oyelowo",[42],
M A R C H,5.0,Boss Level,Hulu / Ingenious Media,"Joe Carnahan (director/screenplay); Chris Borey, Eddie Borey (screenplay); Frank Grillo, Mel Gibson, Naomi Watts, Annabelle Wallis, Ken Jeong, Will Sasso, Selina Lo, Meadow Williams, Michelle Yeoh",[43],
M A R C H,5.0,Boogie,Focus Features,"Eddie Huang (director/screenplay); Taylor Takahashi, Taylour Paige, Jorge Lendeborg Jr., Bashar ""Pop Smoke"" Jackson",[44],
